"region_sido","region_sigungu","doctor_level","treated","shock_year","n_obs","population_median","outcome_mean","pre_mean","post_mean","pre_beta","post_beta","delta_beta","pre_beta_pop_ctrl","post_beta_pop_ctrl","delta_beta_pop_ctrl","control_beta","control_beta_pop_ctrl"
"광주","북구","전문의",TRUE,2015,18,440419.5,634.888888888889,518.857142857143,708.727272727273,21.8571428571403,15.2272727272726,-6.62987012986774,17.6816389386601,1.71800645506623,-15.9636324835939,NA,NA
"광주","서구","total",TRUE,2015,18,303695.5,600.055555555556,474.714285714286,679.818181818182,20.5714285714261,18.3,-2.27142857142608,17.6023167728552,35.7892281804138,18.1869114075586,NA,NA
"광주","서구","레지던트",TRUE,2015,18,303695.5,3.94444444444444,10,0.0909090909090909,-3.35714285714231,0.0454545454545454,3.40259740259686,-3.57009883094029,-0.0540726395407486,3.51602619139954,NA,NA
"광주","서구","인턴",TRUE,2015,18,303695.5,0.388888888888889,1,0,-0.464285714285795,0,0.464285714285795,-0.453087377730699,0,0.453087377730699,NA,NA
"광주","서구","일반의",TRUE,2015,18,303695.5,35.7777777777778,24.8571428571429,42.7272727272727,0.892857142857141,4.00909090909092,3.11623376623378,0.793293750709125,-0.299904835122318,-1.09319858583144,NA,NA
"광주","서구","전문의",TRUE,2015,18,303695.5,559.944444444444,438.857142857143,637,23.5,14.2454545454546,-9.25454545454544,20.8322092308193,36.1432056550856,15.3109964242663,NA,NA
"울산","남구","total",TRUE,2011,18,338076.5,615.777777777778,474,644.133333333333,25.9999999999881,16.4999999999999,-9.49999999998814,24.906154254911,25.0500492174901,0.143894962579061,NA,NA
"울산","남구","일반의",TRUE,2011,18,338076.5,49.8888888888889,45,50.8666666666667,3.00000000000015,1.99999999999998,-1.00000000000016,4.09384574508773,3.11433470891609,-0.979511036171643,NA,NA
"울산","남구","전문의",TRUE,2011,18,338076.5,565.888888888889,429,593.266666666667,22.9999999999997,14.4999999999996,-8.50000000000012,20.812308509823,21.935714508572,1.12340599874891,NA,NA
"울산","동구","total",TRUE,2011,18,170184.5,409.111111111111,317,427.533333333333,-4.00000000000103,6.58214285714283,10.5821428571439,123.619166463939,16.8641017030592,-106.75506476088,NA,NA
"울산","동구","레지던트",TRUE,2011,18,170184.5,90.5555555555556,71.3333333333333,94.4,9.29561434063138e-13,-2.03571428571437,-2.0357142857153,202.063680233033,6.29941395566422,-195.764266277368,NA,NA
"울산","동구","인턴",TRUE,2011,18,170184.5,14.4444444444444,8,15.7333333333333,-8.00000000000059,0.0285714285714288,8.02857142857201,-135.619166462955,-0.967281038018648,134.651885424937,NA,NA
"울산","동구","일반의",TRUE,2011,18,170184.5,13.6666666666667,14.6666666666667,13.4666666666667,-8.03154719881434e-14,-0.0999999999999997,-0.0999999999999194,21.2698610773243,-0.810576183157912,-22.0804372604822,NA,NA
"울산","동구","전문의",TRUE,2011,18,170184.5,290.444444444444,223,303.933333333333,3.99999999999761,8.68928571428565,4.68928571428804,35.9047916160805,12.3425449685736,-23.5622466475068,NA,NA
"울산","북구","total",TRUE,2011,18,198001.5,132.777777777778,90,141.333333333333,3,6.31071428571401,3.31071428571401,2.99999999999017,8.36416755724533,5.36416755725516,NA,NA
"울산","북구","일반의",TRUE,2011,18,198001.5,10.6666666666667,8.66666666666667,11.0666666666667,-0.499999999999976,0.0714285714285768,0.571428571428552,12.2299350905817,0.24745800486102,-11.9824770857207,NA,NA
"울산","북구","전문의",TRUE,2011,18,198001.5,122.111111111111,81.3333333333333,130.266666666667,3.49999999999841,6.2392857142859,2.73928571428749,-9.22993509067331,8.1167095523846,17.3466446430579,NA,NA
"울산","울주군","total",TRUE,2011,18,219085.5,164.555555555556,147,168.066666666667,9.50000000000131,1.64999999999996,-7.85000000000135,-14.0076682041139,1.07118420542299,15.0788524095369,NA,NA
"울산","울주군","인턴",TRUE,2011,18,219085.5,0.0555555555555556,0.333333333333333,0,-0.50000000000004,0,0.50000000000004,-3.11196313379159,0,3.11196313379159,NA,NA
"울산","울주군","일반의",TRUE,2011,18,219085.5,16.5555555555556,19.6666666666667,15.9333333333333,1.99999999999968,-0.09285714285713,-2.09285714285681,-18.8957050703574,-0.0256038415467663,18.8701012288106,NA,NA
"울산","울주군","전문의",TRUE,2011,18,219085.5,147.944444444444,127,152.133333333333,8.00000000000276,1.74285714285718,-6.25714285714558,8.00000000001719,1.09678804696978,-6.90321195304741,NA,NA
"울산","중구","total",TRUE,2011,18,232303.5,274.444444444444,234.666666666667,282.4,13.999999999993,3.27142857142856,-10.7285714285645,13.6943445904712,4.27786076953691,-9.41648382093426,NA,NA
"울산","중구","레지던트",TRUE,2011,18,232303.5,8.61111111111111,17.3333333333333,6.86666666666667,-4.00000000000116,-1.125,2.87500000000116,-3.69434459047911,-1.02598521820102,2.6683593722781,NA,NA
"울산","중구","인턴",TRUE,2011,18,232303.5,1.77777777777778,4.33333333333333,1.26666666666667,-2.0000000000001,-0.2,1.8000000000001,-1.69434459047826,-0.0296885101024642,1.6646560803758,NA,NA
"울산","중구","일반의",TRUE,2011,18,232303.5,20.8333333333333,24.6666666666667,20.0666666666667,1.9999999999998,-0.532142857142868,-2.53214285714267,2.61131081904361,-1.57174121310991,-4.18305203215352,NA,NA
"울산","중구","전문의",TRUE,2011,18,232303.5,243.222222222222,188.333333333333,254.2,18.0000000000017,5.1285714285716,-12.8714285714301,16.4717229523929,6.9052757109508,-9.56644724144206,NA,NA
"전남","강진군","total",FALSE,NA,18,37310.5,53.0555555555556,NA,NA,NA,NA,NA,NA,NA,NA,0.356037151702807,1.90945193299567
"전남","강진군","인턴",FALSE,NA,18,37310.5,0.0555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,-0.0134158926728595,-0.00355035877292359
"전남","강진군","일반의",FALSE,NA,18,37310.5,16.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.0402476780185783,0.189177504319077
"전남","강진군","전문의",FALSE,NA,18,37310.5,36.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.409700722394233,1.72382478744955
"전남","고흥군","total",FALSE,NA,18,67196,92.2777777777778,NA,NA,NA,NA,NA,NA,NA,NA,-0.818369453044359,-11.4323602854474
"전남","고흥군","인턴",FALSE,NA,18,67196,0.222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.0165118679050566,1.31867130910729
"전남","고흥군","일반의",FALSE,NA,18,67196,23.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.2734778121775,-4.43337294104204
"전남","고흥군","전문의",FALSE,NA,18,67196,68.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,-0.561403508771925,-8.31765865353063
"전남","곡성군","total",TRUE,2012,18,30265.5,37.3333333333333,36,37.7142857142857,1.79999999999998,-0.202197802197805,-2.00219780219778,3.75546535895783,-0.487369594467248,-4.24283495342508,NA,NA
"전남","곡성군","일반의",TRUE,2012,18,30265.5,11.2222222222222,12.25,10.9285714285714,1.9,0.257142857142881,-1.64285714285712,5.77180827719779,-1.68618134932175,-7.45798962651954,NA,NA
"전남","곡성군","전문의",TRUE,2012,18,30265.5,26.1111111111111,23.75,26.7857142857143,-0.10000000000002,-0.459340659340638,-0.359340659340618,-2.01634291823817,1.19881175485424,3.2151546730924,NA,NA
"전남","광양시","total",TRUE,2012,18,152132.5,117.055555555556,91,124.5,0.200000000000056,2.00659340659334,1.80659340659328,-8.70099178202683,1.97865728565465,10.6796490676815,NA,NA
"전남","광양시","인턴",TRUE,2012,18,152132.5,0.0555555555555556,0,0.0714285714285714,0,0.0241758241758231,0.0241758241758231,0,0.0231805955652848,0.0231805955652848,NA,NA
"전남","광양시","일반의",TRUE,2012,18,152132.5,11.6111111111111,14,10.9285714285714,-0.6,0.516483516483511,1.11648351648351,-0.259714503759129,0.519729165545943,0.779443669305072,NA,NA
"전남","광양시","전문의",TRUE,2012,18,152132.5,105.388888888889,77,113.5,0.800000000000037,1.46593406593409,0.665934065934056,-8.44127727826821,1.43574752454352,9.87702480281173,NA,NA
"전남","구례군","total",TRUE,2012,18,27116,34.8888888888889,30.5,36.1428571428571,2.4,-0.338461538461538,-2.73846153846154,1.00630686232553,0.57398265945137,-0.432324202874157,NA,NA
"전남","구례군","인턴",TRUE,2012,18,27116,0.166666666666667,0,0.214285714285714,0,0.0329670329670324,0.0329670329670324,0,0.0596767906677543,0.0596767906677543,NA,NA
"전남","구례군","일반의",TRUE,2012,18,27116,7.77777777777778,7.75,7.78571428571429,0.9,-0.0681318681318678,-0.968131868131868,2.50795411876936,0.147591553525988,-2.36036256524337,NA,NA
"전남","구례군","전문의",TRUE,2012,18,27116,26.9444444444444,22.75,28.1428571428571,1.50000000000005,-0.303296703296731,-1.80329670329678,-1.50164725644382,0.366714315257682,1.86836157170151,NA,NA
"전남","나주시","total",TRUE,2015,18,107243,182.833333333333,157,199.272727272727,7.00000000000003,2.91818181818184,-4.08181818181819,6.96137578255551,1.30220019339013,-5.65917558916538,NA,NA
"전남","나주시","레지던트",TRUE,2015,18,107243,10.8888888888889,10.5714285714286,11.0909090909091,1.4642857142858,0.0818181818181869,-1.38246753246762,0.47961189157545,0.420495961868295,-0.0591159297071543,NA,NA
"전남","나주시","인턴",TRUE,2015,18,107243,0.222222222222222,0.285714285714286,0.181818181818182,-0.214285714285705,0.0545454545454541,0.26883116883116,-0.096571792067237,0.0602599923879755,0.156831784455213,NA,NA
