"region_sido","region_sigungu","hospital_type","treated","shock_year","n_obs","population_median","outcome_mean","pre_mean","post_mean","pre_beta","post_beta","delta_beta","pre_beta_pop_ctrl","post_beta_pop_ctrl","delta_beta_pop_ctrl","control_beta","control_beta_pop_ctrl"
"경남","하동군","의원",TRUE,2012,18,49027,20,19.75,20.0714285714286,0.7,-0.169230769230764,-0.869230769230764,0.681782881060371,0.0689834970460777,-0.612799384014293,NA,NA
"경남","함안군","병원",TRUE,2011,18,66776.5,3,3,3,4.2059243935201e-16,-0.0285714285714282,-0.0285714285714286,-5.1087862477736e-15,0.0460546141490953,0.0460546141491004,NA,NA
"경남","함안군","의원",TRUE,2011,18,66776.5,23.3333333333333,26,22.8,-1.00000000000015,-0.228571428571411,0.771428571428736,-40.4399292744113,-0.519071661349453,39.9208576130618,NA,NA
"경남","함양군","병원",FALSE,NA,18,40208,1,NA,NA,NA,NA,NA,NA,NA,NA,-9.99603361634559e-19,1.58397203426346e-17
"경남","함양군","의원",FALSE,NA,18,40208,20.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.0371517027863775,0.315886402954121
"경남","합천군","병원",FALSE,NA,18,47513,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.0350877192982458,0.522335595551651
"경남","합천군","의원",FALSE,NA,18,47513,17.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,-0.160990712074301,-0.897757757061735
"경북","경주시","병원",TRUE,2011,18,258677.5,10.9444444444444,9,11.3333333333333,1.50000000000007,-0.257142857142833,-1.75714285714291,-0.735432500167553,-0.42074874369515,0.314683756472403,NA,NA
"경북","경주시","의원",TRUE,2011,18,258677.5,110.111111111111,107.333333333333,110.666666666667,-1.49999999999988,1.59999999999995,3.09999999999982,-5.2257208336135,1.45434943341253,6.68007026702602,NA,NA
"경북","경주시","종합병원",TRUE,2011,18,258677.5,1.27777777777778,2,1.13333333333333,1.32365222951366e-16,-0.0464285714285719,-0.0464285714285721,3.29627570468697e-16,-0.27600386371493,-0.27600386371493,NA,NA
"경북","고령군","병원",TRUE,2022,18,34012.5,1,1,1,2.41462496243382e-19,0,-2.41462496243382e-19,3.18853941756331e-18,0,-3.18853941756331e-18,NA,NA
"경북","고령군","의원",TRUE,2022,18,34012.5,11.5,11.4285714285714,11.75,0.303296703296708,0.299999999999999,-0.00329670329670945,0.520887612064004,0.563856214607633,0.0429686025436294,NA,NA
"경북","구미시","병원",TRUE,2011,18,414887,5.72222222222222,3.33333333333333,6.2,0.499999999999975,-0.0392857142857101,-0.539285714285686,-0.415189328149519,0.259229762639704,0.674419090789223,NA,NA
"경북","구미시","의원",TRUE,2011,18,414887,205.888888888889,188.666666666667,209.333333333333,2.49999999999776,1.79285714285724,-0.707142857140529,14.3974612659431,2.53580856355723,-11.8616527023859,NA,NA
"경북","구미시","종합병원",TRUE,2011,18,414887,2.94444444444444,2.66666666666667,3,0.49999999999968,9.44457997034065e-17,-0.49999999999968,1.41518932814959,1.07848447218694e-16,-1.41518932814959,NA,NA
"경북","군위군","병원",FALSE,NA,18,24122.5,0.555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,-0.0825593395252836,-0.0864660287256556
"경북","군위군","의원",FALSE,NA,18,24122.5,8.05555555555556,NA,NA,NA,NA,NA,NA,NA,NA,0.0794633642930823,0.198986479553886
"경북","김천시","병원",TRUE,2011,18,137785.5,1.77777777777778,3.33333333333333,1.46666666666667,-0.500000000000116,-0.250000000000006,0.25000000000011,-0.0931202258256094,-0.250359842082764,-0.157239616257154,NA,NA
"경북","김천시","의원",TRUE,2011,18,137785.5,56,56.3333333333333,55.9333333333333,-1.99999999999919,0.707142857142839,2.70714285714203,-2.81375954834577,0.700255501954112,3.51401505029988,NA,NA
"경북","김천시","종합병원",TRUE,2011,18,137785.5,1.94444444444444,1.66666666666667,2,0.500000000000024,3.63390052406735e-17,-0.500000000000024,0.0931202258253013,3.59088325366211e-17,-0.0931202258253012,NA,NA
"경북","문경시","병원",FALSE,NA,18,73998,1.61111111111111,NA,NA,NA,NA,NA,NA,NA,NA,-0.0134158926728566,0.0427819728024767
"경북","문경시","의원",FALSE,NA,18,73998,42.7222222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.209494324045421,0.827944090820261
"경북","문경시","종합병원",FALSE,NA,18,73998,1,NA,NA,NA,NA,NA,NA,NA,NA,1.49940504245518e-17,-1.2546560842969e-17
"경북","봉화군","병원",FALSE,NA,18,33399,1,NA,NA,NA,NA,NA,NA,NA,NA,4.99801680818664e-18,3.11828087655431e-17
"경북","봉화군","의원",FALSE,NA,18,33399,7.22222222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.0846233230134158,0.0114562966051081
"경북","상주시","병원",FALSE,NA,18,101373,0.888888888888889,NA,NA,NA,NA,NA,NA,NA,NA,-0.0206398348813205,-0.00479547759292781
"경북","상주시","의원",FALSE,NA,18,101373,45.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.0165118679050576,0.352032137068411
"경북","상주시","종합병원",FALSE,NA,18,101373,1.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA,0.0330237358101139,0.118832281662849
"경북","성주군","병원",TRUE,2011,18,45002.5,1.38888888888889,1,1.46666666666667,-6.61826114757198e-17,-0.0250000000000069,-0.0250000000000069,-4.70095615942177e-17,0.209211641940773,0.209211641940773,NA,NA
"경북","성주군","의원",TRUE,2011,18,45002.5,18.1111111111111,18.3333333333333,18.0666666666667,-0.500000000000118,-0.296428571428567,0.203571428571552,-0.355150397861491,-0.186151582492415,0.168998815369077,NA,NA
"경북","안동시","병원",TRUE,2021,18,166786,4.66666666666667,5.30769230769231,3,0.0384615384615386,-7.35924956339669e-17,-0.0384615384615387,0.141070443809691,-1.08842585982154e-16,-0.141070443809691,NA,NA
"경북","안동시","의원",TRUE,2021,18,166786,75.6111111111111,74.6923076923077,78,0.719780219780239,-0.299999999999928,-1.01978021978017,0.78267071681698,-0.264406949476358,-1.04707766629334,NA,NA
"경북","안동시","종합병원",TRUE,2021,18,166786,3,3,3,-2.49698692548266e-18,-1.47184991267909e-16,-1.44688004342426e-16,-1.57015389135191e-17,-3.16423665647849e-16,-3.00722126734329e-16,NA,NA
"경북","영덕군","병원",FALSE,NA,18,38790.5,1.55555555555556,NA,NA,NA,NA,NA,NA,NA,NA,-0.123839009287926,-0.484140560170648
"경북","영덕군","의원",FALSE,NA,18,38790.5,17.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.0670794633642914,-0.378683143894014
"경북","영양군","병원",FALSE,NA,18,17596,1,NA,NA,NA,NA,NA,NA,NA,NA,2.99881008491294e-18,4.72292094452775e-17
"경북","영양군","의원",FALSE,NA,18,17596,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.0743034055727564,-0.175520196936934
"경북","영주시","병원",TRUE,2021,18,108809,4.88888888888889,5.15384615384615,4.2,0.241758241758242,0.100000000000006,-0.141758241758235,0.493283751330076,0.766388932941932,0.273105181611856,NA,NA
"경북","영주시","의원",TRUE,2021,18,108809,53.8333333333333,54.4615384615385,52.2,-0.615384615384606,0.1,0.715384615384606,-0.258947316282516,0.766388932940965,1.02533624922348,NA,NA
