요양기관명,요양종별,시도명,시군구명,폐업일자
(의)성모의료재단새로나병원,요양병원,경기,김포시,2007-09-06
(의)소천의료재단의왕성모병원,병원,경기,의왕시,2002-07-13
(의)소학의료재단소학현대한의원,한의원,경기,시흥시,2003-03-05
(의)소학의료재단현대병원,병원,경기,시흥시,2005-12-20
(의)송림의료재단참다사랑의원,의원,경기,평택시,2006-12-20
(의)송산의료재단서원요양병원,요양병원,부산,사상구,2013-03-22
(의)송산의료재단지성의원,의원,부산,사상구,2006-08-07
(의)수생의료재단서울의원,의원,경기,안산시 상록구,2003-09-20
(의)수지의료재단수지요양병원,요양병원,경기,용인시 수지구,2022-12-21
(의)신성의료재단수지삼성병원,병원,경기,용인시 수지구,2011-09-20
(의)신애의료재단에스제이메디컬의원,의원,경기,성남시 중원구,2011-05-27
(의)신애의료재단푸른솔한의원,한의원,경기,성남시 수정구,2006-12-04
(의)아나의료재단 강릉아나병원,병원,강원,강릉시,2021-05-04
(의)양생의료재단하이니스당감의원,의원,부산,부산진구,2013-01-17
(의)열린의료재단부천성심의원,의원,경기,부천시,2003-05-21
(의)영님의료재단개금중앙병원,병원,부산,부산진구,2012-05-16
(의)영세의료재단통진성모의원,의원,경기,김포시,2005-09-29
(의)영파의료재단마음향기의원,의원,부산,금정구,2008-08-07
(의)유일재단 하나애요양병원,요양병원,경기,용인시 처인구,2022-12-01
(의)인계의료재단 이은요양병원,요양병원,경남,김해시,2021-11-15
(의)인석의료재단보람의원,의원,울산,남구,2007-01-17
(의)인일의료재단인천제일의원,의원,인천,부평구,2023-08-23
(의)자산의료재단서울사랑의원,의원,경기,광주시,2010-11-01
(의)자생의료재단자생의원,의원,경기,부천시,2011-03-15
(의)장전의료재단수지성모병원,요양병원,경기,용인시 수지구,2012-12-03
(의)재호의료재단 희연요양병원,요양병원,부산,부산진구,2018-07-25
(의)정안의료재단중앙치과의원,치과의원,울산,남구,2010-03-02
(의)제일병원재단해운대분원늘푸른의원,의원,부산,해운대구,2011-09-21
(의)주현의료재단사상중앙한의원,한의원,부산,사상구,2010-06-03
(의)지유의료재단아름다운에스의원,의원,경기,부천시,2011-09-23
(의)청노의료재단삼성의원,의원,부산,기장군,2012-03-19
(의)청십자의료재단행복한요양병원,요양병원,부산,부산진구,2008-01-01
(의)청하의료재단청하요양병원노서점,요양병원,경북,경주시,2013-03-12
(의)청하의료재단청하요양병원영주점,요양병원,경북,영주시,2013-02-01
(의)하나의료재단하나요양병원,요양병원,경기,부천시,2006-07-25
(의)하은의료재단장유제일병원,병원,경남,김해시,2010-02-01
(의)한국필의료재단한국필의원,의원,서울,강남구,2008-12-01
(의)한전의료재단한전치과의원,치과의원,서울,강남구,2014-12-03
(의)해인의료재단해인의원,의원,경기,안산시 상록구,2010-08-13
(의)현대의료재단시흥현대요양병원,요양병원,경기,시흥시,2012-02-08
(의)혜민재단삼성한의원,한의원,경기,이천시,2004-03-10
(의)화암의료재단 새마음병원,병원,경북,포항시 북구,2017-12-30
(의)효성의료재단세종요양병원,요양병원,경남,밀양시,2019-12-30
(의법)창신의료재단큰사랑치과의원,치과의원,충남,천안시 동남구,2010-04-12
(의법)혜민의료재단 우리치과의원,치과의원,전북,김제시,2018-08-13
